Date,AMZN,TGT,COST,BNED,SCHL,WLY,NWSA,NYT,RELX,TRI
2015-01-02 00:00:00-05:00,15.425999641418457,55.703121185302734,114.29753112792969,,29.345537185668945,43.459964752197266,13.737627029418945,11.61013126373291,13.153756141662598,31.898548126220703
2015-01-05 00:00:00-05:00,15.10949993133545,54.704864501953125,112.99801635742188,,28.634977340698242,42.493526458740234,13.323471069335938,11.47450065612793,12.963632583618164,30.93265151977539
2015-01-06 00:00:00-05:00,14.76449966430664,54.697479248046875,114.49122619628906,,27.989748001098633,41.667266845703125,13.138422966003418,11.094730377197266,12.691191673278809,30.796947479248047
2015-01-07 00:00:00-05:00,14.920999526977539,56.7679328918457,116.48480987548828,,28.50429344177246,42.191062927246094,13.10317611694336,11.257491111755371,12.795072555541992,30.820894241333008
2015-01-08 00:00:00-05:00,15.02299976348877,57.034141540527344,117.48565673828125,,28.300098419189453,42.44927215576172,13.517330169677734,11.501626968383789,13.002833366394043,31.22800064086914
2015-01-09 00:00:00-05:00,14.846500396728516,56.51652145385742,115.6777114868164,,27.93257713317871,42.50090408325195,13.579010963439941,11.537795066833496,12.981276512145996,30.988529205322266
2015-01-12 00:00:00-05:00,14.570500373840332,56.66441345214844,115.03196716308594,,28.357280731201172,42.70747375488281,13.464459419250488,11.40173625946045,13.069476127624512,30.86878204345703
2015-01-13 00:00:00-05:00,14.737000465393066,56.16158676147461,113.8777847290039,,28.96982765197754,43.15011215209961,13.420400619506836,11.5650053024292,13.067513465881348,31.18012237548828
2015-01-14 00:00:00-05:00,14.66349983215332,54.963680267333984,112.44112396240234,,29.059680938720703,42.973052978515625,13.30584716796875,11.138687133789062,13.265477180480957,30.956592559814453
2015-01-15 00:00:00-05:00,14.34749984741211,55.954524993896484,112.44112396240234,,28.871826171875,42.84024429321289,13.226539611816406,10.902853965759277,13.102794647216797,31.1082763671875
2015-01-16 00:00:00-05:00,14.536999702453613,55.41473388671875,112.77201843261719,,29.60688591003418,43.622276306152344,13.270596504211426,11.057052612304688,13.192956924438477,31.826704025268555
2015-01-20 00:00:00-05:00,14.472000122070312,54.47562026977539,112.49761199951172,,28.986162185668945,43.20175552368164,13.156044960021973,10.911922454833984,13.3419189453125,31.579238891601562
2015-01-21 00:00:00-05:00,14.862500190734863,54.682674407958984,112.30388641357422,,29.19035530090332,43.467350006103516,13.173669815063477,10.966351509094238,13.402680397033691,31.036428451538086
2015-01-22 00:00:00-05:00,15.515999794006348,56.02848815917969,114.02308654785156,,30.072425842285156,44.80263900756836,13.393963813781738,11.737348556518555,13.457562446594238,31.786785125732422
2015-01-23 00:00:00-05:00,15.619500160217285,55.67353820800781,114.65262603759766,,30.260278701782227,45.1715087890625,13.376338958740234,11.891546249389648,13.647684097290039,31.722917556762695
2015-01-26 00:00:00-05:00,15.482999801635742,55.643959045410156,115.34678649902344,,30.260278701782227,46.36663055419922,13.693565368652344,11.964112281799316,13.777047157287598,31.898548126220703
2015-01-27 00:00:00-05:00,15.337499618530273,55.281646728515625,113.79711151123047,,30.162273406982422,45.887115478515625,13.61426067352295,11.909688949584961,13.7398042678833,31.643108367919922
2015-01-28 00:00:00-05:00,15.195500373840332,54.91188430786133,112.69132232666016,,30.113067626953125,45.66578674316406,13.341093063354492,11.719206809997559,13.51832103729248,31.291872024536133
2015-01-29 00:00:00-05:00,15.58899974822998,55.82142639160156,113.51457977294922,,30.05567741394043,45.938751220703125,13.156044960021973,11.81898307800293,13.784883499145508,30.916675567626953
2015-01-30 00:00:00-05:00,17.726499557495117,54.43125915527344,115.41131591796875,,30.162273406982422,45.710052490234375,13.120797157287598,11.419877052307129,13.62220573425293,30.653257369995117
2015-02-02 00:00:00-05:00,18.223499298095703,54.90451431274414,117.84075927734375,,30.113067626953125,45.85760498046875,13.164855003356934,11.574079513549805,13.690800666809082,31.156152725219727
2015-02-03 00:00:00-05:00,18.177499771118164,56.102420806884766,124.0960464477539,,30.186874389648438,46.1748161315918,13.755249977111816,12.453927040100098,13.910330772399902,31.52335548400879
2015-02-04 00:00:00-05:00,18.237499237060547,55.9101676940918,125.84749603271484,,30.236082077026367,46.09366989135742,13.737627029418945,12.644408226013184,14.002448081970215,31.794767379760742
2015-02-05 00:00:00-05:00,18.694499969482422,56.16158676147461,124.321533203125,,30.514911651611328,46.049407958984375,13.860991477966309,12.744186401367188,14.084774017333984,31.970378875732422
2015-02-06 00:00:00-05:00,18.714000701904297,56.464752197265625,123.99625396728516,,30.744535446166992,45.60676956176758,14.328017234802246,12.889314651489258,13.937767028808594,31.7788143157959
2015-02-09 00:00:00-05:00,18.527999877929688,55.74748992919922,123.02900695800781,,30.391908645629883,45.260040283203125,14.733360290527344,12.707904815673828,13.790764808654785,31.730915069580078
2015-02-10 00:00:00-05:00,18.649999618530273,56.679195404052734,123.5960464477539,,29.998268127441406,45.355934143066406,14.777420997619629,12.76232624053955,14.151412010192871,31.603187561035156
2015-02-11 00:00:00-05:00,18.756999969482422,56.509132385253906,123.25753784179688,,29.94085693359375,45.20100784301758,14.768609046936035,12.698831558227539,14.194531440734863,30.804916381835938
2015-02-12 00:00:00-05:00,18.85849952697754,56.84187316894531,123.50831604003906,,30.137670516967773,45.60676956176758,14.839103698730469,12.853031158447266,14.253334999084473,31.084318161010742
2015-02-13 00:00:00-05:00,19.09149932861328,56.670654296875,122.95662689208984,,30.391908645629883,45.99039840698242,14.883158683776855,13.107010841369629,14.0534086227417,31.307817459106445
